prompt,steps,temperature,timestamp,level_file_path,shannon_entropy,normalized_entropy,playability,normalized_playability,difficulty,aesthetic,normalized_aesthetic
no pipes no enemies little blocks low elevation,1400,2.5,1726692890204,../sampling/generated_level/generated_level_1726692890204_0.txt,-0.09117262339434129,0,1,1.0,102.08863500000001,-10,0.0
no pipes no enemies little blocks high elevation,1400,2.5,1726692890204,../sampling/generated_level/generated_level_1726692890204_1.txt,2.7635605761187287,0.83,-100,0.0,104.473005,10,1.0
no pipes no enemies little blocks low elevation,1400,2.5,1726692890204,../sampling/generated_level/generated_level_1726692890204_2.txt,4.071961199440105,1.0,1,1.0,79.63040000000001,10,1.0
no pipes no enemies little blocks high elevation,1400,2.5,1726692890204,../sampling/generated_level/generated_level_1726692890204_3.txt,-1.0,0,1,1.0,80.95157,10,1.0
no pipes no enemies some blocks low elevation,1400,2.5,1726692890204,../sampling/generated_level/generated_level_1726692890204_4.txt,3.1057206590304354,1.0,1,1.0,84.739585,10,1.0
no pipes no enemies some blocks high elevation,1400,2.5,1726692890204,../sampling/generated_level/generated_level_1726692890204_5.txt,2.9727029680802577,0.89,1,1.0,84.92331,10,1.0
no pipes no enemies many blocks low elevation,1400,2.5,1726692890204,../sampling/generated_level/generated_level_1726692890204_6.txt,-0.22577304294504263,0,1,1.0,85.34475,-40,0.0
no pipes no enemies many blocks high elevation,1400,2.5,1726692890204,../sampling/generated_level/generated_level_1726692890204_7.txt,1.1852933974396422,0.36,-100,0.0,137.395355,10,1.0
no pipes little enemies little blocks low elevation,1400,2.5,1726692957024,../sampling/generated_level/generated_level_1726692957024_8.txt,3.5402261696268216,1.0,1,1.0,109.89579,10,1.0
no pipes little enemies little blocks high elevation,1400,2.5,1726692957025,../sampling/generated_level/generated_level_1726692957025_9.txt,-1.0,0,-100,0.0,0.2,10,1.0
no pipes little enemies little blocks low elevation,1400,2.5,1726692957025,../sampling/generated_level/generated_level_1726692957025_10.txt,2.789004449955809,0.84,-100,0.0,122.814465,10,1.0
no pipes little enemies little blocks high elevation,1400,2.5,1726692957025,../sampling/generated_level/generated_level_1726692957025_11.txt,2.9720176596340204,0.89,-100,0.0,0.0,-30,0.0
no pipes little enemies some blocks low elevation,1400,2.5,1726692957025,../sampling/generated_level/generated_level_1726692957025_12.txt,2.716874668381272,0.82,-100,0.0,0.2,-60,0.0
no pipes little enemies some blocks high elevation,1400,2.5,1726692957025,../sampling/generated_level/generated_level_1726692957025_13.txt,0.6438561897747246,0.19,-100,0.0,0.2,10,1.0
no pipes little enemies many blocks low elevation,1400,2.5,1726692957025,../sampling/generated_level/generated_level_1726692957025_14.txt,1.191377444527491,0.36,-100,0.0,0.0,-20,0.0
no pipes little enemies many blocks high elevation,1400,2.5,1726692957025,../sampling/generated_level/generated_level_1726692957025_15.txt,3.7767826901796506,1.0,1,1.0,95.593495,10,1.0
no pipes some enemies little blocks low elevation,1400,2.5,1726693024090,../sampling/generated_level/generated_level_1726693024090_16.txt,1.9790917729990047,0.59,1,1.0,76.09333999999998,10,1.0
no pipes some enemies little blocks high elevation,1400,2.5,1726693024090,../sampling/generated_level/generated_level_1726693024090_17.txt,1.9577789619774428,0.59,1,1.0,98.40157,-30,0.0
no pipes some enemies little blocks low elevation,1400,2.5,1726693024090,../sampling/generated_level/generated_level_1726693024090_18.txt,3.851936927270587,1.0,-100,0.0,86.49906499999999,10,1.0
no pipes some enemies little blocks high elevation,1400,2.5,1726693024090,../sampling/generated_level/generated_level_1726693024090_19.txt,3.768929459096384,1.0,-100,0.0,0.2,10,1.0
no pipes some enemies some blocks low elevation,1400,2.5,1726693024090,../sampling/generated_level/generated_level_1726693024090_20.txt,0.24830109340290019,0.07,-100,0.0,87.03764000000001,-110,0.0
no pipes some enemies some blocks high elevation,1400,2.5,1726693024090,../sampling/generated_level/generated_level_1726693024090_21.txt,2.4048442423976666,0.72,1,1.0,65.46123,10,1.0
no pipes some enemies many blocks low elevation,1400,2.5,1726693024090,../sampling/generated_level/generated_level_1726693024090_22.txt,3.715058211169128,1.0,1,1.0,84.63036500000001,10,1.0
no pipes some enemies many blocks high elevation,1400,2.5,1726693024090,../sampling/generated_level/generated_level_1726693024090_23.txt,2.112746012443899,0.63,1,1.0,102.141505,-40,0.0
no pipes many enemies little blocks low elevation,1400,2.5,1726693091112,../sampling/generated_level/generated_level_1726693091112_24.txt,4.373364435854434,1.0,-100,0.0,0.0,10,1.0
no pipes many enemies little blocks high elevation,1400,2.5,1726693091112,../sampling/generated_level/generated_level_1726693091112_25.txt,1.2427094410571193,0.37,1,1.0,93.65881999999999,10,1.0
no pipes many enemies little blocks low elevation,1400,2.5,1726693091112,../sampling/generated_level/generated_level_1726693091112_26.txt,0.5866068748497898,0.18,-100,0.0,0.0,10,1.0
no pipes many enemies little blocks high elevation,1400,2.5,1726693091112,../sampling/generated_level/generated_level_1726693091112_27.txt,0.3113298282696617,0.09,-100,0.0,16.868803500000002,-70,0.0
no pipes many enemies some blocks low elevation,1400,2.5,1726693091112,../sampling/generated_level/generated_level_1726693091112_28.txt,1.2841803151341509,0.39,-100,0.0,16.868803500000002,-30,0.0
no pipes many enemies some blocks high elevation,1400,2.5,1726693091112,../sampling/generated_level/generated_level_1726693091112_29.txt,0.9810819930097628,0.29,-100,0.0,0.0,10,1.0
no pipes many enemies many blocks low elevation,1400,2.5,1726693091112,../sampling/generated_level/generated_level_1726693091112_30.txt,2.0567710426588874,0.62,1,1.0,146.92858,10,1.0
no pipes many enemies many blocks high elevation,1400,2.5,1726693091112,../sampling/generated_level/generated_level_1726693091112_31.txt,1.1971997558074223,0.36,-100,0.0,94.468245,10,1.0
little pipes no enemies little blocks low elevation,1400,2.5,1726693158023,../sampling/generated_level/generated_level_1726693158023_32.txt,3.289177015295631,1.0,1,1.0,98.926255,10,1.0
little pipes no enemies little blocks high elevation,1400,2.5,1726693158024,../sampling/generated_level/generated_level_1726693158024_33.txt,3.164977436686635,1.0,1,1.0,98.53618,-10,0.0
little pipes no enemies some blocks low elevation,1400,2.5,1726693158024,../sampling/generated_level/generated_level_1726693158024_34.txt,3.375288465288944,1.0,1,1.0,66.93123,-20,0.0
